,power consumption[W]
,standard,proposed
1,234.36769875042575,222.6535199460409,
2,264.75482636912125,278.9954408276514,
3,227.35164806579078,185.9314023025016,
4,155.6621678254236,165.88817373682718,
5,232.99157473786016,220.73380700983427,
6,245.01620428851166,244.9411331277993,
7,282.07574345916544,253.71069796779983,
8,218.6344579952135,214.9044777434033,
9,181.76615158582908,163.0586180795982,
10,191.9299719279218,191.92996481949515,
11,195.6138589838451,225.4104135237626,
12,189.50081144354746,200.94646609549014,
13,172.63816044887528,204.8925965722611,
14,182.84851872923176,182.8485052990664,
15,218.32031679683968,207.23065303560853,
16,232.28350999889602,228.34443925048868,
17,186.13088049288032,229.27796335784302,
18,219.74344100948747,207.56258113788599,
19,197.69201779182728,222.36795205499493,
20,240.42294302138112,239.0860060527304,
21,216.28562004753877,192.21778408403244,
22,206.69456369191383,199.9540133477426,
23,244.98711783160917,236.7490179231003,
24,200.9973884761116,196.97841306185515,
25,231.09926662637736,244.68083046183108,
26,227.26554782766982,241.03344988658995,
27,179.28188488343173,184.61398125323092,
28,177.72761693523614,186.76475891355597,
29,182.98825577456105,172.5841251725428,
30,189.5326702320739,179.14671352975407,
31,243.31354959309306,181.24927407857095,
32,274.15046202023376,242.843085549213,
33,220.2009780150986,168.49766192900807,
34,201.59324462011955,203.8951194515105,
35,223.92233628490092,187.0931395371359,
36,238.57107236126956,229.16893753394965,
37,225.31794938606444,226.60422070403422,
38,217.93261025465117,206.0407067084893,
39,230.08357371578398,173.2604184654341,
40,242.99242016262076,242.99241061240673,
41,229.8723699451072,260.64453592128206,
42,273.44848887182576,273.88795633295956,
43,193.9265606678561,180.63954805706297,
44,162.35890843474579,175.00233250308025,
45,208.1919721511898,189.18189766397822,
46,177.1709573009561,170.27626285006377,
47,195.46901279567598,208.91062371619273,
48,198.6111369071257,172.8384806181811,
49,274.36847292524095,256.3537627376249,
50,199.46886570487032,217.168889457388,
