,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,630.30280069893,530.1569461702537,395.19507684127774,337.7884493485393,628.6423806372312,531.5157887294129,
2,673.2207300570109,490.16565114989527,375.1569523851851,327.4544444081172,632.2483268287617,536.9302738013594,
5,672.5468952354189,489.83190625556216,374.951687125785,327.3654749598192,632.3919998252502,537.1012523071988,
27,673.6791899666375,489.4741717184245,373.7569281068594,324.3172563673782,636.3407901474786,534.5267307938839,
31,676.1763397749914,490.9685291888607,372.145272586801,322.9837082103079,636.3484191544645,534.9113259831001,
40,675.6016064563372,490.6829322454206,371.98122537540127,322.915909417631,636.4716855950005,535.0559078832937,
41,674.8401346139801,489.8771661830982,374.31349603340703,320.5403279810652,654.7687783216036,520.0640478645412,
176,674.837960834306,489.88820085185563,374.378035408964,320.6091973808325,655.0053640723493,520.2847830303431,
187,678.7460596315709,491.5555505384457,371.65116527126463,313.2760829021282,658.9830375981774,498.14387334341063,
195,677.7914483674801,490.33030466506085,371.4057832677796,312.6479845684907,668.4730693884512,500.94053722839016,
197,677.4122917916668,491.0084174131995,371.31810281411276,312.89291369733166,668.4633655290245,500.99275830135815,
198,677.4122913672173,491.0084178242254,371.3181026919756,312.89291383862474,668.4633654985647,500.9927583197765,
202,677.412291367234,491.0084178242093,371.31810269198036,312.89291383861917,668.463365498566,500.9927583197757,
248,677.383357227134,491.06779403537536,371.3009695435744,312.92206255219,668.4450093108719,500.99999420282023,
249,677.3833566526662,491.0677946293138,371.30096937055896,312.92206276487997,668.4450092548136,500.99999423430745,
250,677.3833566525631,491.06779462942035,371.3009693705279,312.92206276491805,668.4450092548036,500.9999942343131,
260,676.8622684069496,492.0418218756003,371.15792835502793,313.21968984402093,668.4246869156859,501.0501671165373,
265,676.8863195691099,492.0184128734633,371.16543638616315,313.21241522636666,668.426854322763,501.049503349365,
285,678.1711654363855,491.37565068965523,368.497036272993,315.9059200644231,665.3547799388716,500.5390523512466,
300,678.1711674308318,491.3756487484602,368.49703689559755,315.90591946117434,665.3547801186043,500.5390522962035,
309,682.7378147391307,491.1856781893155,350.6434244322133,320.6982895609624,685.665958415614,486.45056218983774,
310,682.7380941650013,491.18539828504464,350.6434580371978,320.6982949822141,685.6657305469413,486.4507638506775,
311,682.7380941695722,491.1853982804673,350.6434580377525,320.6982949822938,685.6657305432378,486.45076385395464,
312,682.7380941695939,491.1853982804457,350.6434580377551,320.69829498229416,685.6657305432203,486.4507638539701,
318,682.7436635925238,491.1796541870977,350.64354765853574,320.69945392847694,685.6583840365038,486.45729602181086,
319,683.6559767663888,491.28677423804976,347.80359669625057,320.62710532228033,686.4582697781209,486.73101298401815,
337,683.7395309032335,491.8740650401574,347.6274238287707,318.57612975940907,685.9610500573108,488.5698364393989,
338,685.1225424756784,491.555021688602,346.4630532806632,318.11630434665443,686.1792704024423,488.8588207357533,
341,685.1589501740298,491.5121691922079,346.45701455595605,318.132866704351,686.101569509795,488.9430243210131,
345,685.4018435387096,491.8287283896815,345.54002952370865,317.06210418963485,685.7299921493176,490.7281655637238,
388,685.420287968514,491.8063185756651,345.52584153629545,317.08241926568206,685.6469039843757,490.816500788439,
657,685.4193504440492,491.80712393198513,345.5251496956146,317.08331436323965,685.6449500008418,490.818587728973,
665,685.4149651691212,491.81124519383593,345.523411859116,317.0854571654549,685.6423602546328,490.82137522571907,
931,685.4147946418944,491.8114104393211,345.5233653668531,317.08551172441344,685.6423517313593,490.8213854695636,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,484.8355658235504,345.2702794094281,654.2754570154658,515.8607112323899,345.09189303469816,281.966764554817,
7,484.77078441282697,335.8343917134204,673.4361860319252,504.567573810131,345.6762252197019,280.3536994930987,
21,484.95840485972684,337.1780790499445,672.9511751419127,505.26716037813674,344.40586406050875,279.93911890192794,
25,484.74137530144606,337.108306073564,673.156686889493,505.43091368627864,344.53927422827826,280.03481043935705,
