,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,2020,0111,1010,0212,2102,0001,0202,1011,2101,
2,2222,1111,0011,2202,1021,0000,0020,1220,1111,
3,1021,2111,1020,1012,0121,1111,0211,2222,1000,
