285,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Mid:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
300,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
309,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Up:Mid:Mid:Up:,
310,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Up:Mid:Mid:Up:,
311,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Up:Mid:Mid:Up:,
312,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Up:Mid:Mid:Up:,
318,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Up:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Up:Mid:Mid:Up:,
319,Mid:Mid:Down:Mid:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Mid:Up:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Up:Mid:Mid:Up:,
337,Mid:Mid:Down:Mid:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Mid:Up:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Down:Mid:Mid:Up:,
338,Down:Mid:Down:Mid:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Mid:Up:Up:Down:,Down:Up:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Down:Mid:Mid:Up:,
