,power consumption[W]
,standard,proposed
1,207.75810800614684,207.75810800614684,
2,207.75810800614684,207.75810800614684,
3,207.75810800614684,207.75810800614684,
4,207.75810800614684,207.75810800614684,
5,207.75810800614684,207.75810800614684,
6,207.75810800614684,207.75810800614684,
7,207.75810800614684,207.75810800614684,
8,207.75810800614684,207.75810800614684,
9,207.75810800614684,207.75810800614684,
10,207.75810800614684,207.75810800614684,
11,207.75810800614684,207.75810800614684,
12,207.75810800614684,207.75810800614684,
13,207.75810800614684,207.75810800614684,
14,207.75810800614684,207.75810800614684,
15,207.75810800614684,207.75810800614684,
16,207.75810800614684,207.75810800614684,
17,207.75810800614684,207.75810800614684,
18,207.75810800614684,207.75810800614684,
19,207.75810800614684,207.75810800614684,
20,207.75810800614684,207.75810800614684,
21,207.75810800614684,207.75810800614684,
22,207.75810800614684,207.75810800614684,
23,207.75810800614684,207.75810800614684,
24,207.75810800614684,207.75810800614684,
25,207.75810800614684,207.75810800614684,
26,207.75810800614684,207.75810800614684,
27,207.75810800614684,207.75810800614684,
28,207.75810800614684,207.75810800614684,
29,207.75810800614684,207.75810800614684,
30,207.75810800614684,207.75810800614684,
31,207.75810800614684,207.75810800614684,
32,207.75810800614684,207.75810800614684,
33,207.75810800614684,207.75810800614684,
34,207.75810800614684,207.75810800614684,
