,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,2020,0101,1010,0002,0101,0221,0202,1011,0101,
2,2202,0021,2001,2202,0112,2200,0100,0112,1110,
3,2110,2111,0020,2002,2212,1111,1100,2222,1101,
