,power consumption[W]
,standard,proposed
1,236.12319125143597,236.12319125143597,
2,266.000610509615,266.000610509615,
3,225.68844920949965,225.68844920949965,
4,159.74447324185124,159.74447324185124,
5,229.4342882138364,229.4342882138364,
6,236.53963922613525,236.53963922613525,
7,276.1806212001436,276.1806212001436,
8,230.3927671803682,230.3927671803682,
9,204.70102119197514,204.70102119197514,
10,185.9112522186887,185.9112522186887,
11,184.38464259934676,184.38464259934676,
12,201.3623546341497,201.3623546341497,
13,181.77757856241723,181.77757856241723,
14,168.812661768056,168.812661768056,
15,195.01370329771066,195.01370329771066,
16,214.33731914936828,214.33731914936828,
17,209.42431909465353,209.42431909465353,
18,220.3167876840877,220.3167876840877,
19,210.0619505216832,210.0619505216832,
20,240.26052210385973,240.26052210385973,
21,209.48334989061607,209.48334989061607,
22,207.45679494411263,207.45679494411263,
23,228.14110881081535,228.14110881081535,
24,219.93893304632033,219.93893304632033,
25,230.54098157579847,230.54098157579847,
26,215.55575698275783,215.55575698275783,
27,165.62868601866873,165.62868601866873,
28,158.1201329683237,158.1201329683237,
29,202.07616258523922,202.07616258523922,
30,184.2630464050151,184.2630464050151,
31,239.16986719427,239.16986719427,
32,249.15311793029198,249.15311793029198,
33,218.20380982806137,218.20380982806137,
34,199.85171973314652,199.85171973314652,
35,240.8541823183404,240.8541823183404,
36,249.02378089113716,249.02378089113716,
37,235.02471014663436,235.02471014663436,
38,229.49723167295568,229.49723167295568,
39,222.18857761367138,222.18857761367138,
40,238.7008333871471,238.7008333871471,
41,207.75810800614684,207.75810800614684,
42,262.5156891646218,262.5156891646218,
43,196.41756545563447,196.41756545563447,
44,154.76480363934346,154.76480363934346,
45,215.661276295075,215.661276295075,
46,184.74752386523335,184.74752386523335,
47,181.04862218810413,181.04862218810413,
48,206.44095730601111,206.44095730601111,
49,268.57836866424947,268.57836866424947,
50,184.94654368803106,184.94654368803106,
