,power consumption[W]
,standard,proposed
1,236.12319125143597,231.5191401267969,
2,266.000610509615,264.5870354315208,
3,225.68844920949965,233.05956915139473,
4,159.74447324185124,155.71025661096274,
5,229.4342882138364,232.52691401207193,
6,236.53963922613525,244.76853217693602,
7,276.1806212001436,284.47900031289885,
8,230.3927671803682,219.15625940331182,
9,204.70102119197514,181.67624068845865,
10,185.9112522186887,191.76087609566684,
11,184.38464259934676,185.53285714373288,
12,201.3623546341497,189.8242952851,
13,181.77757856241723,173.1549234252647,
14,168.812661768056,182.3459614406815,
15,195.01370329771066,218.28192659332092,
16,214.33731914936828,236.3756101875972,
17,209.42431909465353,185.26743162571938,
18,220.3167876840877,224.125676939951,
19,210.0619505216832,197.70597645988448,
20,240.26052210385973,241.3107758960631,
21,209.48334989061607,216.25312920614695,
22,207.45679494411263,207.70511752648812,
23,228.14110881081535,245.6568523050219,
24,219.93893304632033,200.97355144620423,
25,230.54098157579847,231.7929786476869,
26,215.55575698275783,225.5315169135165,
27,165.62868601866873,179.3127122958982,
28,158.1201329683237,177.95573045875534,
29,202.07616258523922,182.86123269026464,
30,184.2630464050151,189.19043805652535,
31,239.16986719427,245.34255220342817,
32,249.15311793029198,274.04201481909564,
33,218.20380982806137,218.13051258962605,
34,199.85171973314652,201.58430670495963,
35,240.8541823183404,222.19261464436596,
36,249.02378089113716,238.824885587787,
37,235.02471014663436,225.44616559571796,
38,229.49723167295568,218.30293980681742,
39,222.18857761367138,233.58197153502334,
40,238.7008333871471,242.2713500066926,
41,207.75810800614684,229.97801014967615,
42,262.5156891646218,277.21867652912687,
43,196.41756545563447,192.94067073991025,
44,154.76480363934346,163.08707817639714,
45,215.661276295075,208.27235649652656,
46,184.74752386523335,177.14808204655424,
47,181.04862218810413,195.47830203853613,
48,206.44095730601111,199.22626378373388,
49,268.57836866424947,274.0170845885481,
50,184.94654368803106,199.5506323711007,
