,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
36,Down:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Mid:Mid:Up:Down:,Mid:Down:Down:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,
39,Down:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Mid:Mid:Up:Down:,Mid:Down:Down:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,
40,Down:Mid:Mid:Mid:,Mid:Mid:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Mid:Mid:Up:Down:,Mid:Down:Down:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,
44,Down:Mid:Mid:Mid:,Mid:Mid:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Mid:Down:Down:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,
45,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Mid:Down:Down:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,
46,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Down:Down:Down:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,
48,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Down:Down:Down:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Up:Mid:,
51,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Down:Down:Down:Down:,Mid:Mid:Up:Mid:,Mid:Mid:Up:Mid:,
53,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Mid:,Mid:Mid:Up:Mid:,
58,Down:Mid:Mid:Down:,Mid:Mid:Down:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Mid:Up:,Up:Mid:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Mid:Mid:Up:Mid:,
