,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12
1,25.37809451,58.52970852,93.85562247,43.20302531,56.48050827,86.02658917,190.6901251,14.99270141,133.92766,129.2910604,42.41143016,174.0224956,25.37809451,58.52970852,93.85562247,43.20302531,56.48050827,86.02658917,190.6901251,14.99270141,133.92766,129.2910604,42.41143016,174.0224956
,,,393.8556225,,,,,,566.08,,,,,,,,,,,,,,,
