,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,630.30280069893,530.1569461702537,395.19507684127774,337.7884493485393,628.6423806372312,531.5157887294129,
5,630.468225093754,530.7694854412457,394.318553473389,333.6029644419593,643.1409660576369,522.1504386825503,
8,630.3779881570576,530.6757022303948,394.35871979636477,333.6422716377936,643.3816022564902,522.3800811940978,
11,633.7797122984246,536.8874044141687,374.1208012417852,326.35144471293415,676.7579662569894,481.8836372682599,
13,633.7796967366565,536.8874179988325,374.1207360944879,326.3515206390155,676.7577530758076,481.88383964732475,
14,679.2895177559176,492.47422405108784,357.4223225411371,317.8285957783273,680.1653605491664,489.7989621160632,
25,680.0292552319839,492.0930190522102,356.0321677685248,316.7577468935794,682.0090375942106,489.67190696477564,
26,680.0292553136318,492.0930195408727,356.0321666592079,316.7577485876401,682.009033076398,489.6719111111793,
29,680.0308272054357,492.1024273432246,356.0108099190781,316.7903629045081,681.9220554563611,489.75173831549466,
38,681.49258537108,490.34625414724746,354.03316387535665,317.39033896852465,682.6060982659312,489.7329870246015,
42,683.5895162048522,490.3633281869236,352.3342789972752,315.657892592876,682.9975891892594,490.45072652994804,
44,683.5863931853785,490.3665806780711,352.3344733317258,315.65768774776217,683.0013441125753,490.4468620289364,
47,683.5838578395677,490.36920512484426,352.3345345374103,315.6576496377301,683.0040178835563,490.44409259688535,
48,683.0843839930404,491.782312119816,351.8746849650585,315.3634123730268,683.1411328390986,490.45838440084435,
49,683.4937751669067,492.45227996347137,350.17568996407647,313.62275358810973,685.056697209508,490.56073020498985,
52,683.493786152494,492.45226836508533,350.17569023776116,313.6227546309776,685.0566851706734,490.5607425107656,
53,683.4937861567075,492.452268360639,350.1756902378722,313.6227546313677,685.0566851660826,490.56074251545834,
55,683.5374439565543,492.40541076732694,350.17479223808505,313.63018071215197,684.9999840050566,490.61865927096557,
60,684.9178380469893,492.2219196877837,348.7327460093174,313.128460117392,685.3724042985633,490.8562279275672,
76,684.9339733113608,492.202807580499,348.72817455746684,313.1373294264841,685.3346601761441,490.8951226483482,
101,684.620877914471,493.17374144566793,348.3423103024587,312.8936155139823,685.4858865759113,490.8854729372056,
105,684.6059067993345,493.1817787347388,348.3211279792929,312.9268340001516,685.4087968194805,490.96370104941633,
107,684.5457007288037,493.2480540784263,348.32499703802955,312.91189705924626,685.4966620424045,490.87406045886445,
130,684.7402626962553,493.2456149355753,347.85487313138515,312.5156255593975,685.0348415209518,492.250321326477,
132,684.7602507891785,493.22487731790943,347.85335135958167,312.5187212727609,685.0075993005613,492.2775358745088,
134,684.7581938782704,493.2272324511294,347.8547470796474,312.51673514262853,685.0154108233619,492.26976192523506,
156,684.891796043676,493.24858916588875,347.359065529416,312.30861557925266,684.676664506347,493.3553374113828,
191,684.8926243826788,493.24776154970306,347.35899683400567,312.30869437857643,684.6756112574567,493.3563809634288,
206,685.3464805715768,492.3922123649952,345.691826652866,315.1479835175661,685.1567977213699,492.47195125846514,
209,685.3465690088897,492.39212418087453,345.691822434349,315.14798834786296,685.1566968273278,492.4720513586838,
210,685.3465858211985,492.39210741665994,345.69182163170564,315.14798926691094,685.1566776444001,492.47207039064915,
212,685.347603289238,492.3910933713045,345.691782120275,315.1480344646297,685.1555503249049,492.4731892764403,
215,685.3481334861893,492.3905636723784,345.6917387763199,315.1480841819886,685.1548784913717,492.4738549518096,
242,685.3496451966971,492.38904614547585,345.6914871027572,315.1483732247392,685.1524878781522,492.4762180802219,
299,685.3279346954464,492.41038144724155,345.6869815532661,315.15355905410456,685.1567051776831,492.4717662376359,
366,685.3279337214896,492.4103823987179,345.68698125115446,315.1535594017194,685.1567049960381,492.47176640100963,
518,685.3353146704835,492.4031605870106,345.6841634489336,315.1567959405364,685.1391358194383,492.48879716864286,
689,685.3353145894745,492.40316067347754,345.68416339760796,315.1567959995137,685.1391357070527,492.48879726855085,
704,685.3353142430836,492.4031610103814,345.68416345291,315.15679593607535,685.1391362461987,492.4887967463504,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,484.8355658235504,345.2702794094281,654.2754570154658,515.8607112323899,345.09189303469816,281.966764554817,
5,486.88565531015956,344.7889117813666,657.8598906231846,515.0385628860046,341.02674913670035,279.29219052689774,
