,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
34,Down:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Up:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
41,Down:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
43,Down:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,
49,Down:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Mid:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,
50,Down:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Mid:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Down:,
52,Down:Down:Mid:Down:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Mid:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Down:,
53,Down:Down:Mid:Down:,Down:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Mid:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Down:,
54,Down:Down:Mid:Down:,Down:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Down:,
55,Down:Down:Mid:Down:,Down:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Mid:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Down:,
59,Down:Down:Mid:Down:,Down:Mid:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Down:Up:,Up:Up:Mid:Down:,Mid:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Up:,
