,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
32,Down:Up:Mid:Down:,Mid:Up:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Mid:,Up:Up:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
33,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Mid:,Up:Up:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
38,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
42,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
44,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
45,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
48,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
54,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
55,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Up:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
56,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Up:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
60,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Up:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
71,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Up:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
72,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Mid:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
77,Down:Up:Mid:Down:,Mid:Down:Mid:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
78,Down:Up:Mid:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
87,Down:Up:Up:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Up:Mid:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
88,Down:Up:Up:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Mid:Mid:,
92,Down:Up:Up:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
97,Down:Up:Up:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
101,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
104,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Down:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
110,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
112,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
115,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
134,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
136,Down:Up:Down:Down:,Mid:Down:Down:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Up:Up:Down:Up:,Up:Down:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Mid:Down:Mid:Mid:,Mid:Mid:Up:Mid:,
