,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,0,2,0,2,1,1,1,1,2,1,1,1,2,0,2,1,1,2,2,2,2,0,1,0,2,0,1,0,1,2,2,1,1,2,2,2,2,2,2,2,1,0,1,1,2,1,2,2,
2,0,2,0,0,1,1,1,1,0,1,1,1,2,2,2,1,1,0,2,0,2,2,0,1,0,2,0,2,2,2,1,1,2,1,1,1,2,0,0,0,1,1,1,1,1,1,1,1,
3,0,1,2,2,0,2,1,1,2,0,1,2,0,0,0,0,1,1,1,1,1,0,2,2,1,0,1,1,1,2,2,1,0,1,1,1,2,0,0,2,2,2,2,2,1,1,1,1,
4,0,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,0,1,0,1,1,0,1,0,2,0,2,2,0,1,2,2,1,0,1,0,0,0,0,2,2,2,0,2,1,2,0,
5,0,2,0,2,1,2,1,1,2,0,0,2,1,0,2,0,2,2,0,2,1,2,1,1,0,2,2,2,2,1,2,1,2,1,1,1,2,2,0,2,1,2,1,1,1,1,1,1,
6,0,2,1,0,2,0,1,2,2,2,1,1,2,0,2,1,1,1,1,0,1,0,1,0,1,2,1,2,1,1,0,2,2,1,1,1,2,0,0,0,1,1,1,1,2,2,0,1,
7,0,2,0,2,1,1,1,2,0,2,0,1,2,0,2,0,2,0,2,2,2,0,1,0,2,2,2,1,0,1,1,1,1,2,1,1,1,2,2,2,0,0,0,0,1,1,1,1,
8,1,1,0,0,2,2,2,1,0,0,0,0,2,2,2,1,2,2,1,0,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,0,0,1,1,2,0,1,1,0,0,0,0,
9,0,0,0,0,0,2,1,1,0,1,1,1,2,2,2,1,0,2,2,0,1,1,1,1,2,2,2,2,1,1,2,0,2,1,1,1,0,1,0,1,2,2,1,0,0,2,0,0,
10,0,2,0,2,2,2,1,1,2,1,1,0,2,2,2,1,1,0,0,2,1,2,1,1,2,2,2,1,2,2,0,2,2,1,2,1,2,2,1,0,2,2,2,2,0,0,1,0,
11,0,2,0,2,1,1,2,1,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,0,0,0,2,2,2,
12,0,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,1,1,2,1,0,2,1,2,2,1,1,2,2,0,0,1,0,0,0,0,1,2,1,1,2,0,0,0,
13,0,2,2,2,0,2,1,1,2,1,1,1,0,2,2,0,2,2,1,2,2,0,0,0,1,2,0,2,2,1,1,2,1,1,0,1,0,0,0,0,0,2,0,1,0,2,0,1,
14,0,2,0,2,1,1,1,2,2,1,0,1,1,2,2,0,1,1,0,0,1,0,1,1,0,1,0,2,0,2,2,1,1,0,1,2,0,1,0,0,0,0,0,0,1,1,2,2,
15,0,2,1,2,0,0,2,0,2,2,0,1,2,0,1,0,0,0,0,2,1,2,1,0,2,1,2,1,2,2,0,2,1,2,1,2,0,0,0,1,0,0,0,2,1,1,2,2,
16,0,2,1,2,0,2,1,1,2,1,1,1,2,0,2,0,2,2,1,1,2,1,2,1,2,1,2,1,0,1,1,0,1,2,1,2,1,2,2,2,0,0,0,0,2,2,1,0,
17,2,2,1,2,2,1,0,0,2,1,1,1,0,2,0,2,2,1,1,1,1,0,2,1,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,1,1,2,0,0,1,0,1,0,
18,0,2,1,2,0,1,0,2,2,1,1,1,2,0,0,0,1,1,2,2,2,0,0,0,0,2,1,0,0,2,0,1,2,0,0,0,0,2,0,0,2,0,2,0,1,1,1,2,
