,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12
1,88.77882322,33.07474526,12.44386696,170.5221934,83.91627234,20.1333248,72.97896357,0.065286769,85.57790904,84.11372469,68.52944099,5.766103376,1,19.77842632,5.931174184,9.678395082,104.179784,49.52291757,3.072265794,31.9987033,7.706613123,48.12853962,48.179265,43.53408672,0.520691905
2,35.4444777,65.95919527,38.61765804,74.04412216,134.7761782,62.0591337,118.0720727,0.676310071,146.8649333,167.3145983,97.63348884,187.5441948,2,11.1931264,21.73272506,22.07490247,14.21506049,103.1018286,11.84963535,85.51044718,15.1052258,90.02855764,147.112765,75.02346457,151.9574985
3,57.88627137,130.3160913,58.60220669,39.65959332,139.1701126,72.130235,93.96984273,84.35752346,62.388905,41.26353199,74.66856062,133.2396825,3,41.92116705,110.2939502,38.17042742,42.82964488,119.4286233,55.4412378,52.28944571,52.96914689,53.41470159,32.29992493,60.62826913,92.56243972
4,5.352232416,60.08839626,118.8782543,40.97538067,49.74346624,35.48724905,137.1709137,128.4047886,64.72105775,154.764058,145.9051112,75.79317662,4,10.89548011,37.81411527,33.226112,25.90228356,43.39117482,9.557475245,114.2930695,87.44771003,42.80603062,95.07691875,123.8191014,57.7237612
5,25.44205962,15.98531987,45.16115482,11.40227959,71.09080322,125.4458909,17.98612118,146.304702,95.91259823,44.50218906,211.9709572,115.6160896,5,20.29413015,23.30331684,10.85928013,12.07818542,45.03437586,91.29656056,18.53049617,88.84675039,74.97330271,81.26745601,167.5674607,129.1801991
6,13.80917466,3.130097187,1.475894698,12.0602847,18.98980931,23.30357386,32.19277971,172.9832349,124.5896373,34.79440398,168.7397031,94.83355914,6,3.22759497,9.385068847,0.22082788,4.782780381,10.49841013,10.76863344,27.19075681,86.20701501,131.7663105,37.41025156,106.3193572,89.60230367
7,23.82950635,52.08995204,118.9504367,85.13861309,39.90462496,47.5449752,56.37878516,33.93936093,6.19360749,59.84855182,8.285622942,58.69746268,7,3.788256957,36.86964294,66.92005214,51.80523431,24.3143482,5.531387621,25.52189825,3.427921672,23.76696871,37.15912071,7.843890308,37.97879331
8,0.113967177,17.69536822,22.01748753,6.247350996,31.13110926,18.2181796,67.57484591,191.0096977,83.42528605,85.30040852,230.2118593,105.3586331,8,5.908969822,10.3440419,5.77918052,6.038099766,12.01063857,6.712063302,61.62139127,88.15905649,68.43811924,94.84547001,200.3412627,102.0819257
9,134.8786097,29.87733079,87.91271605,55.28674487,88.14953081,197.4542371,73.0071621,88.22134723,44.52914535,92.46015697,134.6049743,85.0638371,9,91.13204857,49.85841012,17.0349253,3.145195179,76.34584459,137.7094572,49.02824554,58.25021626,47.62306469,76.55559004,138.3141141,81.05882563
10,27.36049352,33.98239484,33.63395491,29.98526891,174.2984661,31.8974494,60.5432868,85.862422,18.37224209,87.1614948,127.8912522,37.62769328,10,26.00822814,9.287988561,18.41079937,26.18325284,131.9214296,19.23741021,56.46598182,53.06897185,9.131008072,77.37364917,105.6571921,26.13634977
11,30.77612682,12.63426006,42.88361012,61.94943189,14.92000628,73.27813975,90.713884,62.7931399,13.50138188,114.4271143,121.1252432,40.75905607,11,0.901878206,3.69909821,5.108921314,4.252674243,11.61294058,18.12010751,58.44446606,47.69124597,7.470560691,78.81434878,110.2105363,24.64468617
12,46.00535348,0.32298278,21.9841759,101.325222,51.93387234,12.80514455,15.00145259,14.79686565,71.66255239,1.577200408,12.65916536,79.44108445,12,3.766012677,15.59686807,13.49955171,40.59219111,26.65443954,22.85224638,1.435919728,2.10390189,28.01998468,4.661642268,4.620955622,44.68206668
13,173.7547177,116.5883276,51.06598126,130.931483,96.36768977,60.61981566,159.2353681,19.37807148,189.8325757,192.5371601,34.99150305,143.6928934,13,51.05980963,63.17002551,16.05272178,79.95687065,45.97594996,12.27169864,107.9909195,20.70656421,130.2180063,185.9037031,40.21061213,83.11817529
14,113.8402225,6.379057352,36.31912426,13.05787377,185.1307426,50.93321528,6.905898391,174.1401488,67.52732756,42.71253154,168.1638488,18.03170819,14,39.40381425,9.449795038,27.82046605,28.39280813,161.9902478,37.33700373,32.04814317,92.76957659,53.91772578,48.65062497,118.8297019,20.34065314
15,168.0662235,114.6202792,31.30331266,63.47234459,32.12686676,7.735359185,148.9793546,124.46048,47.65365028,171.678259,145.2962951,52.67236588,15,117.6310997,53.04223241,16.13350246,29.49922646,9.732700416,1.409434354,80.18816323,97.36179018,25.68684577,138.2780039,135.6971424,47.29000986
16,49.96568996,129.8643701,165.8357645,3.179399147,188.6987838,126.7136125,107.2426845,152.4206275,166.7011449,120.0621554,192.2294357,196.740328,16,8.799563841,61.28953699,93.20948536,26.7715051,132.2679102,56.97951002,72.74887182,140.9613952,90.24016131,124.9586009,205.2159737,153.5641962
17,11.24787305,40.71447248,33.72856413,31.65348488,85.59277997,74.27895752,44.75621863,145.5680373,40.50968605,11.45423213,13.27001251,105.6629051,17,2.859761646,1.483125432,5.061173884,11.19732167,8.504279238,15.28436434,13.74192618,103.7637798,4.674040048,7.628361491,16.13245204,28.41648038
18,34.76322969,104.2565381,40.76109707,0.55219403,21.86085723,8.276580119,88.3840382,189.5010734,72.51058556,106.5148848,224.6872867,89.7447777,18,15.28097233,83.56284786,15.18942061,12.87772549,19.99519317,13.15347338,70.66037799,89.21656311,69.19638377,104.4449886,203.4723543,102.4842074
19,6.422552484,74.20458454,133.1726918,53.28784793,30.10654736,91.01721608,108.0084662,24.67022064,23.84863625,102.737915,160.5901458,64.00666843,19,3.201043034,8.215841867,23.68105324,19.08346581,16.10031879,40.78079351,57.79320439,20.34277029,19.33354161,56.59569993,124.0058154,69.05346158
20,101.2761709,38.96053052,17.15486342,209.0781739,126.6361509,6.195628509,214.5214503,180.5077246,32.99862621,197.4293957,118.5534952,63.47185066,20,46.80974658,3.668457106,19.17879103,129.5631322,57.7789623,11.53714851,107.9954966,135.8181075,34.80822477,166.7813751,154.9806016,40.39794158
21,184.3891706,82.34761013,26.50189603,148.0251937,19.22868191,74.47703218,159.3869938,58.52751294,51.37782474,80.27201934,143.3552133,106.0595649,21,110.9913829,48.17946036,2.796239826,38.28532966,27.35460591,37.43851087,84.28157281,17.25199203,43.75029589,34.68603167,114.7956436,92.46958709
22,17.28597028,51.25208897,33.87187384,10.56991239,131.3475984,92.80171636,158.6978148,89.72951062,204.3323973,183.3758702,63.60679989,185.7116319,22,16.41957141,5.814362732,7.303997952,4.389228179,84.93365626,30.90361549,103.0276354,75.41817287,146.7860368,163.0761535,63.52159814,133.9169717
23,80.26117054,44.04912074,5.346858893,172.681179,143.2350961,42.022856,54.69344805,183.4395072,106.4800952,14.27480568,21.04274365,20.36581053,23,21.43937848,10.18823927,12.25122711,123.6256308,61.94272637,0.18704646,24.93039388,112.9190643,27.4353535,2.502115762,52.25380463,17.35064997
24,47.90806886,143.3398898,61.72902256,34.70837726,95.92721667,58.21619919,147.1913317,2.382936769,143.6141558,171.1131618,2.094015939,165.2717199,24,25.9034452,81.17182513,19.74963981,22.50732489,23.73641563,5.965432774,102.3746094,19.1231896,82.66984963,113.8870055,2.633016293,140.2322245
25,9.821043479,81.59972564,51.17036552,77.49032106,86.95486246,2.299402697,101.9707611,37.56601352,155.4305522,18.65223427,123.8266084,197.6539676,25,18.30991667,60.4693113,25.66977993,42.6024213,76.07057291,20.98291584,75.30799962,41.07707965,89.18935183,23.77807705,107.0298912,160.0275402
26,26.35783953,100.3257739,56.64064268,6.684183957,67.88003548,62.01046436,58.57097578,53.94489004,33.83890029,65.53222942,59.36571537,36.48299219,26,7.397561476,45.88266333,13.74514376,4.312519091,21.00460119,16.81881644,25.61464919,21.50144819,37.22181055,30.90738113,33.39540096,37.75910964
27,96.6668933,49.51512038,70.01157684,92.219307,128.4774262,194.6161622,97.90579594,28.34432579,82.14541631,15.35882588,96.84873478,53.61056803,27,52.18710888,53.15228856,16.68034283,63.73137074,83.56972346,146.4326242,22.20458164,29.75030346,36.50005697,16.44085734,49.18161974,32.08593902
28,13.30447688,99.78485242,185.1942717,38.88424195,21.71423773,62.46885139,115.8361671,127.5922764,63.57718999,50.55413754,35.42984222,26.34145016,28,7.082156715,40.53438677,39.33471352,15.29661377,6.446673379,16.2864762,67.84238422,42.34359834,1.555734804,44.52243431,46.11217765,5.303818584
29,112.9064528,8.754483733,87.78591693,100.6358374,31.12891531,37.37284287,33.78817136,23.66682685,1.494680955,51.54527155,43.03595686,14.3795116,29,37.29176977,7.870796714,9.973713055,9.787168524,3.258350625,5.971837009,5.686416586,8.103065206,0.547794125,9.075841665,10.28928567,0.900345645
30,15.13914813,26.95355999,11.45395343,37.2713134,62.50331106,12.83454642,66.5115829,31.73454126,87.1754223,113.6750255,145.4592503,22.26639111,30,0.912574776,0.326925862,4.328950708,6.528002638,9.082514288,4.153338441,70.27634895,46.76646886,22.42633913,90.33006811,101.2627523,13.63410486
31,121.6954833,54.4368582,7.412578898,52.74644377,52.35632597,41.50739449,46.61904541,94.10351148,94.64055361,57.06009004,68.50005405,58.63279878,31,28.89816602,28.72244747,10.53743018,5.339438034,49.89856555,22.70829396,14.26407865,39.61800065,71.6434047,16.66742736,38.70984336,48.71577176
32,195.1187637,137.0360841,117.8353863,118.2786919,17.57932533,59.01381631,124.8110924,154.0553683,24.36278738,159.9335348,96.51253971,51.28938526,32,122.0684556,57.69019364,76.41301061,44.55800155,49.96369887,24.08932842,99.47499283,150.2248411,40.30479481,125.0229567,85.58074692,60.82091839
33,56.7506176,181.7583548,91.12814574,28.62378346,120.6035174,91.1159531,14.39369764,36.92560896,54.31580244,9.892434187,18.92077372,34.3797184,33,21.48453245,114.3246358,39.61353517,3.456383861,47.89780476,56.98767469,7.351493249,15.00873993,36.29928103,8.494989931,7.383171881,21.96660185
34,18.01404357,14.51626723,6.980006335,31.89082149,28.59972768,11.72532788,44.52876269,46.11262631,8.130458734,87.01489481,146.5634676,56.34748319,34,0.174422471,2.201529526,0.511043434,0.026701505,8.478990446,1.664015153,47.22911173,46.74245218,29.67910266,66.14456284,107.7756451,47.06722973
