,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,89.5413572453056,1049.469196792741,864.8984504750546,264.07855371996845,713.1880866808448,0.0,701.7542656288899,0.0,670.0268461346244,22.84140014698018,831.9779568125898,1200.0,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,109.03162054588338,1042.4198997146211,867.8731958084041,257.6213469412343,713.7468978461904,0.0,703.9928780045547,0.0,669.7354372340394,19.147050433623086,832.9935197179224,1200.0,
3,100.35233033990929,1039.4169531915372,866.7293036700838,271.46588644527174,721.4520939392792,0.0,655.7480808683498,0.0,663.418139282185,0.0,949.7173458868748,1200.0,
4,121.42070027812159,1027.181458101046,870.7134281371435,240.70228307696377,735.168317901993,0.0,699.3307997548153,0.0,576.5746800919502,0.0,1033.4444463162508,1200.0,
5,152.81820253634208,964.8132103870076,977.6368453249124,242.02813275018025,710.2855894219563,0.0,703.701662064576,0.0,582.5099908203161,0.0,1032.8053286122017,1200.0,
7,185.65754920170863,953.3470638326602,982.8052353662805,239.49498316693797,709.0299958151913,0.0,703.7833603609616,0.0,582.9767505288879,0.0,1032.6619776417924,1200.0,
11,185.65754952535895,953.3470651481837,982.8052359285333,239.4949841891759,709.0299970029768,0.0,703.7833610237792,0.0,582.9767511609222,0.0,1032.661978051249,1200.0,
23,185.6575506705532,953.3470646987764,982.805236361641,239.49498375888447,709.0299975636381,0.0,703.7833612349791,0.0,582.9767512185281,0.0,1032.6619781086213,1200.0,
24,185.63975458082558,981.732484155061,864.3114530532018,225.47607198112215,723.5797027589083,0.0,710.0467066697665,0.0,591.8369894146044,0.0,1030.685314260667,1200.0,
25,201.83397788478533,964.6233408922442,868.5516496385891,206.16645895712753,749.9381537766787,0.0,705.917996552833,0.0,508.93432490252786,0.0,1197.924134123968,1200.0,
26,207.00670314902786,962.3532329568839,867.2638608558668,199.8259649664064,753.2613050323246,0.0,698.05476592131,0.0,565.2206348852181,0.0,1193.5976602397748,1200.0,
30,179.0119298872524,1094.6109408067234,727.3115251249953,185.50397537471264,764.2361985328681,0.0,701.6923582626625,0.0,566.2852086306139,0.0,1200.0,1200.0,
31,178.46583236269407,1097.65903380887,726.7448954248401,189.07659633288765,767.4018550452229,0.0,697.6030012988015,4.8995637971511945,585.5371741565544,0.0,1200.0,1200.0,
33,178.4649063213576,1097.6597306078295,726.7445646921628,189.07711507231448,767.4015715403802,0.0,697.6029317082053,4.89958472591258,585.5372308447313,0.0,1200.0,1200.0,
36,178.4649477628858,1097.659699558318,726.7445795343282,189.07709196887697,767.401584333257,0.0,697.6029349074854,4.899583929251323,585.5372283850106,0.0,1200.0,1200.0,
39,174.4366681755448,1096.0169854016979,733.404565859039,211.353702019743,768.2068450707877,0.0,597.5453959354045,47.61996057258477,563.4562802326524,0.0,1200.0,1200.0,
41,174.43561129194305,1096.0177809584536,733.4041843385343,211.35428697581997,768.2065207380865,0.0,597.5453309455766,47.619973393869486,563.456349394629,0.0,1200.0,1200.0,
43,159.6841804046132,1097.6329348063382,809.8769019630089,192.94195686226837,778.1493672489335,0.0,603.93392492508,43.66891009933004,565.8147764359246,0.0,1200.0,1200.0,
47,159.6789463214785,1097.6369017498466,809.8747672325787,192.94490036111333,778.1477137606092,0.0,603.9335730963944,43.66896739576389,565.8151058858584,0.0,1200.0,1200.0,
50,169.63409455445958,1087.625512304199,825.0485500256477,188.87319478266085,786.4072381436526,0.0,596.9369902923723,69.56500452093698,483.2272742123184,0.0,1200.0,1200.0,
53,201.67631263033536,1064.2773270066832,776.5348910419965,163.7927050435135,813.5425341469827,0.0,601.8418497204815,67.01516252325416,486.78332800895373,0.0,1200.0,1200.0,
58,199.49866107073132,1061.8178172571902,782.1917774254639,186.68673445606427,816.5860564826739,0.0,487.2378866293244,106.11646794246835,467.06837117427966,0.0,1200.0,1200.0,
59,199.80455192593524,1065.6082923987817,783.865080568118,189.22267038797685,810.241999646962,0.0,488.22423434445227,114.53280864654789,457.20755974441965,0.0,1200.0,1200.0,
63,199.80453862820607,1065.6083031786216,783.8650758494911,189.22267857667813,810.241995895066,0.0,488.2242342351645,114.53280969478992,457.20756086638903,0.0,1200.0,1200.0,
65,218.20814553559103,1065.975122598611,599.6543526162698,158.96568715633344,863.3443944231063,0.0,491.01405800241264,108.46959437624797,463.0727410445529,0.0,1200.0,1200.0,
