1,Sensor7,700,704.2545785,0.006077969
1,Sensor9,700,619.4580744,0.115059894
1,Sensor7,500,534.6150291,0.069230058
1,Sensor9,500,447.9978082,0.104004384
2,Sensor7,500,510.5899146,0.021179829
2,Sensor6,300,358.2159913,0.194053304
2,Sensor7,300,464.618717,0.548729057
2,Sensor6,500,457.280582,0.085438836
3,Sensor7,500,440.998428,0.118003144
3,Sensor12,700,678.5989231,0.030572967
3,Sensor7,700,564.5087622,0.193558911
3,Sensor12,500,513.534145,0.02706829
4,Sensor7,300,413.6643514,0.378881171
4,Sensor6,500,500.7449041,0.001489808
4,Sensor7,500,533.7487249,0.06749745
4,Sensor6,700,673.5506044,0.037784851
5,Sensor7,500,512.078833,0.024157666
5,Sensor6,700,646.7836183,0.076023402
5,Sensor7,700,685.6918494,0.020440215
5,Sensor6,500,463.5688107,0.072862379
6,Sensor7,300,378.5212767,0.261737589
6,Sensor7,300,378.5212767,0.261737589
6,Sensor7,500,496.624393,0.006751214
6,Sensor7,500,496.624393,0.006751214
7,Sensor10,500,524.7532291,0.049506458
7,Sensor12,500,524.1239243,0.048247849
7,Sensor10,300,450.3833561,0.501277854
7,Sensor12,300,429.5041911,0.431680637
8,Sensor12,700,502.0080841,0.282845594
8,Sensor2,700,639.7742193,0.08603683
8,Sensor12,500,404.8498948,0.19030021
8,Sensor2,300,422.3829504,0.407943168
9,Sensor4,500,481.383672,0.037232656
9,Sensor12,700,652.1432254,0.068366821
9,Sensor4,300,360.804615,0.20268205
9,Sensor12,300,475.7494925,0.585831642
10,Sensor1,300,396.5877002,0.321959001
10,Sensor10,300,336.1399702,0.120466567
10,Sensor1,700,683.8815261,0.023026391
10,Sensor10,500,436.1408247,0.127718351
11,Sensor5,300,363.5796764,0.211932255
11,Sensor11,700,691.2797196,0.012457543
11,Sensor5,500,418.7459141,0.162508172
11,Sensor11,500,569.3922916,0.138784583
12,Sensor10,700,672.3718726,0.039468753
12,Sensor3,500,499.6094822,7.81E-04
12,Sensor10,500,552.025203,0.104050406
12,Sensor3,300,370.1583949,0.233861316
13,Sensor11,300,330.7208219,0.10240274
13,Sensor7,300,325.2946522,0.084315507
13,Sensor11,700,516.5428037,0.262081709
13,Sensor7,500,414.9479063,0.170104187
14,Sensor6,300,290.5344388,0.031551871
14,Sensor5,300,308.9199163,0.029733054
14,Sensor6,700,698.2001095,0.002571272
14,Sensor5,700,504.1127072,0.27983899
15,Sensor4,700,645.9231057,0.077252706
15,Sensor6,500,456.0597098,0.08788058
15,Sensor4,500,462.8584496,0.074283101
15,Sensor6,700,655.4021018,0.063711283
16,Sensor11,700,526.6329797,0.247667172
16,Sensor11,700,526.6329797,0.247667172
16,Sensor11,700,526.6329259,0.247667249
16,Sensor11,700,526.6329259,0.247667249
17,Sensor7,700,689.6906226,0.014727682
17,Sensor10,500,489.4659544,0.021068091
17,Sensor7,500,472.0989004,0.055802199
17,Sensor10,300,332.5116214,0.108372071
18,Sensor3,700,666.4863673,0.047876618
18,Sensor1,700,668.2042512,0.045422498
18,Sensor3,300,296.506558,0.011644807
18,Sensor1,300,372.1082278,0.240360759
19,Sensor3,700,660.0425589,0.057082059
19,Sensor1,700,662.8406002,0.053084857
19,Sensor3,300,397.8500787,0.326166929
19,Sensor1,300,338.1519756,0.127173252
20,Sensor9,500,518.0567272,0.036113454
20,Sensor1,500,486.4320848,0.02713583
20,Sensor9,700,661.774686,0.054607591
20,Sensor1,300,413.3700487,0.377900162
21,Sensor3,500,489.7007002,0.0205986
21,Sensor11,500,613.822828,0.227645656
21,Sensor3,300,300.9895738,0.003298579
21,Sensor11,700,649.8478892,0.071645873
22,Sensor9,500,516.457794,0.032915588
22,Sensor9,500,516.457794,0.032915588
22,Sensor9,500,516.457698,0.032915396
22,Sensor9,500,516.457698,0.032915396
23,Sensor6,300,345.7749422,0.152583141
23,Sensor9,500,489.8945042,0.020210992
23,Sensor6,700,652.9390067,0.06722999
23,Sensor9,700,664.8797805,0.050171742
24,Sensor2,700,659.5500553,0.057785635
24,Sensor6,700,705.16875,0.007383929
24,Sensor2,500,495.028963,0.009942074
24,Sensor6,300,384.6409895,0.282136632
25,Sensor7,700,676.1925194,0.034010687
25,Sensor4,300,367.9355651,0.226451884
25,Sensor7,500,515.0026206,0.030005241
25,Sensor4,700,624.7700232,0.107471395
26,Sensor6,700,698.8526413,0.001639084
26,Sensor4,500,498.7670385,0.002465923
26,Sensor6,300,354.6629577,0.182209859
26,Sensor4,700,704.0963626,0.005851947
27,Sensor9,300,405.4885337,0.351628446
27,Sensor11,300,405.0278534,0.350092845
27,Sensor9,700,666.6037518,0.047708926
