,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,1200.0,985.7553144586097,0.0,35.37374283173977,0.0,1200.0,1200.0,263.5945805395562,1065.8487929736975,0.0,0.0,0.0,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,1200.0,991.9396006699237,0.0,20.657934005634203,0.0,1200.0,1200.0,271.99998210416396,1076.6101879675696,0.0,0.0,0.0,
2,1200.0,992.173248699346,0.0,18.999917639794333,0.0,1200.0,1200.0,272.54628162768074,1076.2843237737168,0.0,0.0,0.0,
9,983.6687469900709,1161.805501168048,0.0,13.626654630427577,0.0,1200.0,1200.0,284.2945844855176,1071.3323680991557,0.0,0.0,0.0,
15,984.6861784741936,1153.9998202811548,0.0,9.842276702335756,12.375011969294375,1200.0,1200.0,282.670932913876,1069.8285876561445,0.0,0.0,0.0,
17,991.5217018482867,1147.781766538003,0.0,5.999972486977211,16.799807991420863,1200.0,1200.0,282.1957658992435,1069.417294748856,0.0,0.0,0.0,
28,994.3887366218075,1145.9999414996144,0.0,0.0,17.176660750322622,1200.0,1200.0,269.27329289483254,1191.1327606297168,0.0,0.0,0.0,
32,995.0000001315353,1144.7141037979536,0.0,0.0,17.461485626597607,1200.0,1200.0,268.7665471757617,1190.9423575604187,0.0,0.0,0.0,
38,994.097793163816,1128.3155762213094,0.0,0.0,40.452321424773146,1200.0,1200.0,263.7901352164808,1191.1992467403531,0.0,0.0,0.0,
41,1006.7877959704593,1162.0000640131925,0.0,0.0,11.565524916658893,1200.0,1160.8607715591797,225.97357202338733,1200.0,0.0,25.820146363755576,0.0,
47,1002.6427600164222,1167.9798885356408,0.0,0.0,7.932118623488736,1200.0,1161.3288966726761,226.99984671294004,1200.0,0.0,24.694039778992856,0.0,
50,1009.7562659469208,1140.9998931120851,0.0,0.0,36.54051946428954,1200.0,1162.588463895436,213.58794149780573,1200.0,0.0,38.76981540833534,0.0,
61,1012.7723447142012,1133.6910657607596,0.0,0.0,43.73114173331127,1200.0,1200.0,172.99975998886103,1200.0,0.0,57.8297176666407,0.0,
65,1010.6668246127252,1136.999853501704,0.0,0.0,41.634109585484865,1200.0,1200.0,175.4021672686075,1200.0,0.0,52.86705077606572,0.0,
71,1008.6255319068978,1138.7484205347673,0.0,0.0,40.76451403131868,1200.0,1200.0,172.99992935829576,1200.0,0.0,58.89861432348021,0.0,
75,1024.0982110819853,1140.999933503327,0.0,0.0,46.6076264664932,1200.0,1087.5216748122668,200.51759570722663,1200.0,0.0,54.86219188079335,0.0,
78,1028.5386465021575,1136.2658403652083,0.0,0.0,48.689903890191644,1200.0,1087.9405862590472,203.24560964966582,1200.0,0.0,45.999993654172165,0.0,
79,1018.8618599662365,1145.1878401630122,0.0,0.0,45.899967694705275,1200.0,1166.5523781665224,179.9477514595265,1200.0,37.86673303545296,63.253153849154195,0.0,
83,1001.8232618845097,1160.441547098763,0.0,0.0,59.839753559503215,1200.0,1167.925080325263,116.52499969795944,966.9364458604529,0.0,273.0000233008514,69.9333520531155,
87,1200.0,959.912136699312,0.0,88.53784367661454,63.74206684316016,1200.0,1143.9999692757058,104.39066029796042,972.3719498673555,0.0,312.36176539409615,38.405130525874895,
90,1200.0,959.9612580912709,0.0,88.56076888743063,63.96087664883244,1200.0,1143.743369321827,103.65644953759198,972.9537228450588,0.0,313.00002221266317,39.78464960559465,
93,1200.0,957.9999725267146,0.0,87.24595245653965,67.48131646649753,1200.0,1148.9142054895412,93.26403965013448,970.5957129452888,0.0,361.763893329871,0.0,
