,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,630.30280069893,530.1569461702537,395.19507684127774,337.7884493485393,628.6423806372312,531.5157887294129,
3,630.718220083253,530.4537944427308,393.74607936232405,335.93947533736196,632.6510546808785,528.7032280168281,
18,630.3476253963852,530.5949454743072,395.9563012869266,333.7932668488369,650.0076732065434,513.9828547253221,
28,644.7517698013954,521.1561081401413,395.06304883402163,329.5865792488241,650.3324753572754,514.7073342614879,
30,644.7984265732159,521.2006761810055,395.0837441770917,329.607345798748,650.3601237184661,514.7332505999235,
34,645.6599902154824,522.1760548562879,393.37626086170206,326.7651580907827,653.6420590782507,512.5075006182382,
38,645.3538649867194,521.8838951560604,393.3016663241517,326.68982944174905,653.6760479380698,512.5378650947091,
40,645.2845294970361,521.8179038048793,393.3272290615673,326.71504071429524,653.8331978512747,512.6837943434732,
42,645.2855621668535,521.8188896476931,393.3275472363947,326.7153610753054,653.8333174177847,512.6839098376424,
50,645.2891342295934,521.8222997392669,393.32864924265556,326.7164706374935,653.8337360094532,512.6843139946178,
51,649.1402038853821,518.808103544002,391.8772801978968,325.2700754863388,654.129373212931,512.912941396183,
55,649.280082899354,518.9416600653655,391.925162951826,325.3182334967061,654.1624113222422,512.9442558956114,
60,648.3397822433082,520.9696985530024,368.7744974957254,320.52726852976696,681.4929064580333,484.2848748636251,
61,648.3397790147609,520.9697079334953,368.7744751211712,320.52730849233336,681.492809258068,484.2849684292616,
62,648.339779014747,520.9697079335355,368.77447512107534,320.52730849250463,681.4928092576514,484.28496842966257,
104,648.0884598641398,520.6840478579128,368.201929623826,320.5149613515386,680.6693318900743,486.44690990133734,
109,648.0884598516852,520.6840478735699,368.20192956126436,320.51496143840563,680.6693316490384,486.44691013572833,
110,648.0884597848055,520.6840479576452,368.2019292253177,320.51496190486847,680.6693303547106,486.4469113943723,
112,684.2233809405443,487.13827511312905,352.55576059332265,317.56619409077416,683.7349208694252,490.67733424773985,
113,684.2232077066566,487.13844254410276,352.55576957416304,317.5661994551231,683.7350967006298,490.6771504240784,
115,684.2129058966792,487.14829545322897,352.5557165686888,317.56727146387806,683.7432384822168,490.6685328271708,
