,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,630.30280069893,530.1569461702537,395.19507684127774,337.7884493485393,628.6423806372312,531.5157887294129,
21,630.4682086996103,530.7694687961163,394.318544413268,333.60295518047246,643.1409504663778,522.1504238006074,
23,630.3779881578579,530.6757022312096,394.3587197967104,333.6422716381487,643.3816022569007,522.3800811944895,
25,630.3950166432747,530.6930849124294,394.3642418112281,333.6479920454013,643.3836970630007,522.3820826882761,
37,633.7797122984485,536.8874044141478,374.1208012418857,326.351444712817,676.7579662573185,481.88363726794756,
45,637.5376933592223,534.2857639935302,372.70113789835204,323.9031101955252,677.0306332192557,483.13547787768994,
50,637.5376927079325,534.2857645618377,372.70113517242686,323.9031133726597,677.0306242992406,483.1354863463422,
63,637.4318669910302,534.4280632160147,372.0952348431691,324.01325303865656,676.401783327816,484.8145363239568,
66,637.4318671148977,534.4280630692559,372.09523547456763,324.01325241533976,676.401785240678,484.8145345202711,
72,641.4197167507774,531.2114698439452,370.8095667493126,322.81858246833195,676.6250668304223,485.55009237662404,
76,641.419727564652,531.2114561860237,370.80962409772934,322.8185263846751,676.625240720513,485.54993030178224,
80,641.4176071617375,531.213968466583,370.79881558544673,322.8291965572388,676.5924956389998,485.5808064667904,
81,641.4176079591481,531.2139675218009,370.7988196501557,322.82919254455464,676.5925079532965,485.58079485532903,
82,655.2831939200724,521.828693401462,369.6162170808297,319.12628227085077,675.9472491899852,487.55153875370763,
94,655.2831940633063,521.8286932113714,369.6162178770559,319.12628148400967,675.9472516074514,487.55153647872424,
96,671.1057604654019,504.9551771619439,370.6786282696198,317.08134929994776,674.5801898535294,489.6247657778153,
97,671.1057608320958,504.9551778151423,370.6786265255735,317.08135123185787,674.5801838413898,489.6247711140441,
99,672.548576765026,504.8559071156446,369.9552495335624,315.8210795158037,677.7253552531349,488.5740617730918,
103,671.7573297612973,504.54285026286817,369.4157808455571,315.9691571711939,676.7211734530218,489.358981265014,
104,672.5310116501294,504.1969685813505,368.094945986177,313.9980677897276,679.0958798227191,489.2766927459385,
107,672.5310116514154,504.196968663984,368.0949457934163,313.99806808805357,679.0958790344143,489.2766934917688,
108,672.5310116514156,504.1969686640001,368.09494579337866,313.99806808811184,679.0958790342604,489.27669349191456,
111,685.4898366587717,490.8909820040502,347.06563893530097,316.3254849648429,685.3154357230948,490.9439892574764,
120,685.4899032677511,490.8909108389169,347.0656349129127,316.32549043660475,685.3153556057811,490.9440730865517,
139,685.4924978615618,490.8881277222774,347.06542632678395,316.32577449620055,685.3120279917273,490.9475457040592,
